Sexo,Estado,GrupoEdad,Ingreso,,,,
M,Aguascalientes,Menor,14666,,,,
M,Baja California,Menor,15765,,,,
M,Baja California Sur,Menor,17029,,,,
M,Campeche,Menor,12162,,,,
M,Coahuila,Menor,14246,,,,
M,Colima,Menor,12940,,,,
M,Chiapas,Menor,5492,,,,
M,Chihuahua,Menor,13857,,,,
M,Ciudad de México,Menor,19049,,,,
M,Durango,Menor,11177,,,,
M,Guanajuato,Menor,11541,,,,
M,Guerrero,Menor,6293,,,,
M,Hidalgo,Menor,9916,,,,
M,Jalisco,Menor,14207,,,,
M,México,Menor,10844,,,,
M,Michoacán,Menor,10091,,,,
M,Morelos,Menor,10050,,,,
M,Nayarit,Menor,11897,,,,
M,Nuevo León,Menor,22377,,,,
M,Oaxaca,Menor,6897,,,,
M,Puebla,Menor,9100,,,,
M,Querétaro,Menor,13501,,,,
M,Quintana Roo,Menor,14693,,,,
M,San Luis Potosí,Menor,10153,,,,
M,Sinaloa,Menor,13590,,,,
M,Sonora,Menor,13913,,,,
M,Tabasco,Menor,9143,,,,
M,Tamaulipas,Menor,12376,,,,
M,Tlaxcala,Menor,10864,,,,
M,Veracruz,Menor,6984,,,,
M,Yucatán,Menor,10552,,,,
M,Zacatecas,Menor,8963,,,,
M,Aguascalientes,Joven,17624,,,,
M,Baja California,Joven,18678,,,,
M,Baja California Sur,Joven,18754,,,,
M,Campeche,Joven,13804,,,,
M,Coahuila,Joven,17533,,,,
M,Colima,Joven,15144,,,,
M,Chiapas,Joven,6392,,,,
M,Chihuahua,Joven,17170,,,,
M,Ciudad de México,Joven,19479,,,,
M,Durango,Joven,12759,,,,
M,Guanajuato,Joven,14221,,,,
M,Guerrero,Joven,7725,,,,
M,Hidalgo,Joven,12293,,,,
M,Jalisco,Joven,16744,,,,
M,México,Joven,15142,,,,
M,Michoacán,Joven,12964,,,,
M,Morelos,Joven,11367,,,,
M,Nayarit,Joven,15563,,,,
M,Nuevo León,Joven,22969,,,,
M,Oaxaca,Joven,8400,,,,
M,Puebla,Joven,10628,,,,
M,Querétaro,Joven,16811,,,,
M,Quintana Roo,Joven,17842,,,,
M,San Luis Potosí,Joven,14292,,,,
M,Sinaloa,Joven,15882,,,,
M,Sonora,Joven,16669,,,,
M,Tabasco,Joven,10307,,,,
M,Tamaulipas,Joven,13206,,,,
M,Tlaxcala,Joven,12928,,,,
M,Veracruz,Joven,7724,,,,
M,Yucatán,Joven,15560,,,,
M,Zacatecas,Joven,10588,,,,
M,Aguascalientes,Adulto,15753,,,,
M,Baja California,Adulto,17503,,,,
M,Baja California Sur,Adulto,18712,,,,
M,Campeche,Adulto,12595,,,,
M,Coahuila,Adulto,14491,,,,
M,Colima,Adulto,15026,,,,
M,Chiapas,Adulto,6668,,,,
M,Chihuahua,Adulto,15966,,,,
M,Ciudad de México,Adulto,21032,,,,
M,Durango,Adulto,12571,,,,
M,Guanajuato,Adulto,13081,,,,
M,Guerrero,Adulto,8207,,,,
M,Hidalgo,Adulto,11521,,,,
M,Jalisco,Adulto,16366,,,,
M,México,Adulto,12835,,,,
M,Michoacán,Adulto,11346,,,,
M,Morelos,Adulto,10301,,,,
M,Nayarit,Adulto,12806,,,,
M,Nuevo León,Adulto,20504,,,,
M,Oaxaca,Adulto,8482,,,,
M,Puebla,Adulto,10344,,,,
M,Querétaro,Adulto,16592,,,,
M,Quintana Roo,Adulto,16075,,,,
M,San Luis Potosí,Adulto,11221,,,,
M,Sinaloa,Adulto,15249,,,,
M,Sonora,Adulto,16081,,,,
M,Tabasco,Adulto,10722,,,,
M,Tamaulipas,Adulto,13035,,,,
M,Tlaxcala,Adulto,12104,,,,
M,Veracruz,Adulto,8109,,,,
M,Yucatán,Adulto,13307,,,,
M,Zacatecas,Adulto,10403,,,,
M,Aguascalientes,Mayor,14774,,,,
M,Baja California,Mayor,14703,,,,
M,Baja California Sur,Mayor,16920,,,,
M,Campeche,Mayor,10909,,,,
M,Coahuila,Mayor,14268,,,,
M,Colima,Mayor,11283,,,,
M,Chiapas,Mayor,6113,,,,
M,Chihuahua,Mayor,13374,,,,
M,Ciudad de México,Mayor,18893,,,,
M,Durango,Mayor,10141,,,,
M,Guanajuato,Mayor,11191,,,,
M,Guerrero,Mayor,7224,,,,
M,Hidalgo,Mayor,8795,,,,
M,Jalisco,Mayor,13786,,,,
M,México,Mayor,11962,,,,
M,Michoacán,Mayor,10808,,,,
M,Morelos,Mayor,9773,,,,
M,Nayarit,Mayor,11338,,,,
M,Nuevo León,Mayor,19889,,,,
M,Oaxaca,Mayor,6031,,,,
M,Puebla,Mayor,8824,,,,
M,Querétaro,Mayor,13801,,,,
M,Quintana Roo,Mayor,14780,,,,
M,San Luis Potosí,Mayor,9591,,,,
M,Sinaloa,Mayor,11429,,,,
M,Sonora,Mayor,14249,,,,
M,Tabasco,Mayor,9296,,,,
M,Tamaulipas,Mayor,11546,,,,
M,Tlaxcala,Mayor,10433,,,,
M,Veracruz,Mayor,6799,,,,
M,Yucatán,Mayor,13147,,,,
M,Zacatecas,Mayor,8695,,,,
F,Aguascalientes,Menor,13985,,,,
F,Baja California,Menor,16134,,,,
F,Baja California Sur,Menor,17550,,,,
F,Campeche,Menor,10708,,,,
F,Coahuila,Menor,14435,,,,
F,Colima,Menor,12850,,,,
F,Chiapas,Menor,5067,,,,
F,Chihuahua,Menor,15229,,,,
F,Ciudad de México,Menor,17547,,,,
F,Durango,Menor,11178,,,,
F,Guanajuato,Menor,11438,,,,
F,Guerrero,Menor,5982,,,,
F,Hidalgo,Menor,9800,,,,
F,Jalisco,Menor,13924,,,,
F,México,Menor,10824,,,,
F,Michoacán,Menor,10135,,,,
F,Morelos,Menor,9766,,,,
F,Nayarit,Menor,10966,,,,
F,Nuevo León,Menor,22643,,,,
F,Oaxaca,Menor,6402,,,,
F,Puebla,Menor,8764,,,,
F,Querétaro,Menor,13982,,,,
F,Quintana Roo,Menor,14973,,,,
F,San Luis Potosí,Menor,10232,,,,
F,Sinaloa,Menor,14669,,,,
F,Sonora,Menor,14754,,,,
F,Tabasco,Menor,8401,,,,
F,Tamaulipas,Menor,10337,,,,
F,Tlaxcala,Menor,10798,,,,
F,Veracruz,Menor,6383,,,,
F,Yucatán,Menor,12602,,,,
F,Zacatecas,Menor,8882,,,,
F,Aguascalientes,Joven,16879,,,,
F,Baja California,Joven,17734,,,,
F,Baja California Sur,Joven,17510,,,,
F,Campeche,Joven,12269,,,,
F,Coahuila,Joven,16820,,,,
F,Colima,Joven,13174,,,,
F,Chiapas,Joven,5843,,,,
F,Chihuahua,Joven,16402,,,,
F,Ciudad de México,Joven,20028,,,,
F,Durango,Joven,11962,,,,
F,Guanajuato,Joven,12973,,,,
F,Guerrero,Joven,7907,,,,
F,Hidalgo,Joven,11163,,,,
F,Jalisco,Joven,15426,,,,
F,México,Joven,14085,,,,
F,Michoacán,Joven,11338,,,,
F,Morelos,Joven,11757,,,,
F,Nayarit,Joven,13682,,,,
F,Nuevo León,Joven,24623,,,,
F,Oaxaca,Joven,7762,,,,
F,Puebla,Joven,10185,,,,
F,Querétaro,Joven,15725,,,,
F,Quintana Roo,Joven,16393,,,,
F,San Luis Potosí,Joven,11843,,,,
F,Sinaloa,Joven,13763,,,,
F,Sonora,Joven,15775,,,,
F,Tabasco,Joven,10076,,,,
F,Tamaulipas,Joven,12668,,,,
F,Tlaxcala,Joven,11054,,,,
F,Veracruz,Joven,7920,,,,
F,Yucatán,Joven,14694,,,,
F,Zacatecas,Joven,9307,,,,
F,Aguascalientes,Adulto,16210,,,,
F,Baja California,Adulto,17475,,,,
F,Baja California Sur,Adulto,19079,,,,
F,Campeche,Adulto,12268,,,,
F,Coahuila,Adulto,15389,,,,
F,Colima,Adulto,14311,,,,
F,Chiapas,Adulto,6683,,,,
F,Chihuahua,Adulto,15455,,,,
F,Ciudad de México,Adulto,19184,,,,
F,Durango,Adulto,11875,,,,
F,Guanajuato,Adulto,11980,,,,
F,Guerrero,Adulto,7073,,,,
F,Hidalgo,Adulto,11086,,,,
F,Jalisco,Adulto,15369,,,,
F,México,Adulto,12361,,,,
F,Michoacán,Adulto,10482,,,,
F,Morelos,Adulto,10075,,,,
F,Nayarit,Adulto,12670,,,,
F,Nuevo León,Adulto,21719,,,,
F,Oaxaca,Adulto,8096,,,,
F,Puebla,Adulto,9662,,,,
F,Querétaro,Adulto,15231,,,,
F,Quintana Roo,Adulto,16474,,,,
F,San Luis Potosí,Adulto,10739,,,,
F,Sinaloa,Adulto,15282,,,,
F,Sonora,Adulto,14825,,,,
F,Tabasco,Adulto,9949,,,,
F,Tamaulipas,Adulto,12724,,,,
F,Tlaxcala,Adulto,11375,,,,
F,Veracruz,Adulto,7360,,,,
F,Yucatán,Adulto,12563,,,,
F,Zacatecas,Adulto,9725,,,,
F,Aguascalientes,Mayor,13168,,,,
F,Baja California,Mayor,14535,,,,
F,Baja California Sur,Mayor,17243,,,,
F,Campeche,Mayor,10886,,,,
F,Coahuila,Mayor,12296,,,,
F,Colima,Mayor,10408,,,,
F,Chiapas,Mayor,5838,,,,
F,Chihuahua,Mayor,12086,,,,
F,Ciudad de México,Mayor,16735,,,,
F,Durango,Mayor,9129,,,,
F,Guanajuato,Mayor,10125,,,,
F,Guerrero,Mayor,6862,,,,
F,Hidalgo,Mayor,8456,,,,
F,Jalisco,Mayor,13013,,,,
F,México,Mayor,11236,,,,
F,Michoacán,Mayor,9789,,,,
F,Morelos,Mayor,8687,,,,
F,Nayarit,Mayor,10586,,,,
F,Nuevo León,Mayor,17121,,,,
F,Oaxaca,Mayor,5700,,,,
F,Puebla,Mayor,7804,,,,
F,Querétaro,Mayor,13088,,,,
F,Quintana Roo,Mayor,14106,,,,
F,San Luis Potosí,Mayor,9416,,,,
F,Sinaloa,Mayor,11143,,,,
F,Sonora,Mayor,12706,,,,
F,Tabasco,Mayor,9067,,,,
F,Tamaulipas,Mayor,10040,,,,
F,Tlaxcala,Mayor,9564,,,,
F,Veracruz,Mayor,6546,,,,
F,Yucatán,Mayor,11726,,,,
F,Zacatecas,Mayor,7957,,,,
